x,y,z,yaw,velocity,change_flag
0.6874,6.1181,-0.9349,-1.9421,1.0,0
0.7949,5.1209,-0.8410,-1.6035,1.5,0
0.5554,4.1165,-0.8619,-1.8048,2.0,0
0.1613,3.1899,-0.8429,-2.15,2.0,0
-0.45,2.3226,-0.8500,-1.65,2.0,0
-0.5,1.4,-0.9052,-1.4,2.0,0
-0.32,0.35,-0.9079,-1.11,2.0,0
0.2,-0.7,-0.9190,-0.60,2.0,0
1.3,-1.21,-0.8570,-0.45,1.5,0
2.2,-1.61,-0.8570,-0.4239,1.0, 0
